DSH[K],DSC[K],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
2.545454545,5.363636364,2784711.476,1379261.261,10339.18531,9319.312567,1133.852364,9.118634524,8.219158742,0.037264877,0.037264877,2.545454545,5.363636364
2.909090909,5.545454545,2785324.857,1379090.916,10344.02075,9317.471365,1134.388025,9.118591277,8.213654554,0.037152993,0.037152993,2.909090909,5.545454545
3.181818182,3.818181818,2769270.42,1382720.004,10241.23154,9219.824741,1123.117307,9.118576905,8.2091378,0.037175782,0.037175782,3.181818182,3.818181818
2.636363636,4.181818182,2773954.379,1381699.523,10270.11687,9255.260737,1126.286162,9.118567923,8.217503728,0.037307154,0.037307154,2.636363636,4.181818182
2.454545455,5.272727273,2784172.005,1379395.94,10335.37811,9317.414108,1133.444416,9.118557528,8.220442024,0.037295656,0.037295656,2.454545455,5.272727273
2.818181818,4,2771852.039,1382164.068,10256.96993,9240.256992,1124.847586,9.118541974,8.214674686,0.037266631,0.037266631,2.818181818,4
2.363636364,4.454545455,2777136.025,1381002.636,10289.85656,9277.782605,1128.456143,9.118525892,8.221659884,0.037368394,0.037368394,2.363636364,4.454545455
2.363636364,4.363636364,2776325.188,1381187.727,10284.61603,9273.039988,1127.882752,9.118515215,8.221634717,0.03737366,0.03737366,2.363636364,4.363636364
2.727272727,5.454545455,2785045.99,1379176.925,10341.59895,9318.367998,1134.137225,9.118472368,8.216261484,0.037208807,0.037208807,2.727272727,5.454545455
2.363636364,5.181818182,2783633.362,1379531.002,10331.56149,9315.507312,1133.036541,9.118471569,8.22171834,0.037326529,0.037326529,2.363636364,5.181818182
2.181818182,5.090909091,2783333.177,1379617.403,10329.11455,9316.409371,1132.77022,9.118455238,8.224447648,0.037383287,0.037383287,2.181818182,5.090909091
2.272727273,4.545454545,2778211.319,1380770.559,10296.43994,9285.288158,1129.187046,9.118453828,8.222985019,0.037388938,0.037388938,2.272727273,4.545454545
2.181818182,5,2782526.67,1379801.204,10323.90822,9311.69632,1132.202032,9.118432864,8.224412304,0.037388527,0.037388527,2.181818182,5
2.727272727,4.090909091,2772929.212,1381932.759,10263.53466,9247.733242,1125.582761,9.118418484,8.215951381,0.03728689,0.03728689,2.727272727,4.090909091
2.181818182,4.909090909,2781720.404,1379985.253,10318.69589,9306.977379,1131.633628,9.118406909,8.224373284,0.037393773,0.037393773,2.181818182,4.909090909
2.181818182,4.636363636,2779287.661,1380538.372,10303.02681,9292.798481,1129.917956,9.118384885,8.224312601,0.037409541,0.037409541,2.181818182,4.636363636
2.181818182,4.818181818,2780914.409,1380169.551,10313.47754,9302.252512,1131.065028,9.118377183,8.224330416,0.037399027,0.037399027,2.181818182,4.818181818
3,5.636363636,2785921.461,1378959.197,10347.78618,9319.300682,1134.828434,9.118370558,8.212078936,0.037122693,0.037122693,3,5.636363636
2.454545455,4.272727273,2775297.349,1381421.407,10278.02083,9265.495879,1127.179136,9.118356168,8.220073975,0.03735322,0.03735322,2.454545455,4.272727273
2.090909091,4.727272727,2780365.03,1380306.07,10309.61727,9300.313698,1130.648859,9.118319261,8.225642847,0.037430203,0.037430203,2.090909091,4.727272727
2.454545455,5.363636364,2785030.003,1379214.972,10340.54359,9322.055563,1134.042276,9.118305208,8.220201097,0.037290514,0.037290514,2.454545455,5.363636364
3.272727273,5.727272727,2785987.649,1378923.037,10348.82039,9315.586814,1134.950026,9.118304903,8.20792687,0.037042377,0.037042377,3.272727273,5.727272727
2.818181818,5.545454545,2785641.067,1379044.816,10345.37359,9320.20471,1134.577109,9.118263989,8.214694831,0.03717834,0.03717834,2.818181818,5.545454545
2.363636364,5.272727273,2784491.047,1379349.665,10336.7361,9320.157895,1133.634528,9.118226234,8.221483787,0.037321371,0.037321371,2.363636364,5.272727273
2.545454545,4.181818182,2774270.455,1381654.98,10271.42901,9257.956453,1126.475496,9.118200128,8.218515613,0.037332837,0.037332837,2.545454545,4.181818182
