CA,charge_target,P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
9.53E-07,0.294736842,2764473.097,1254049.023,8385.040337,6929.538357,1504.223167,5.574332666,4.606722266,0.03247266,0.03247266,7.817125791,0
9.53E-07,0.310526316,,,,,,,,,,,
9.53E-07,0.326315789,,,,,,,,,,,
9.53E-07,0.342105263,,,,,,,,,,,
9.53E-07,0.357894737,,,,,,,,,,,
9.53E-07,0.373684211,,,,,,,,,,,
9.53E-07,0.389473684,,,,,,,,,,,
9.53E-07,0.405263158,,,,,,,,,,,
9.53E-07,0.421052632,,,,,,,,,,,
9.53E-07,0.436842105,,,,,,,,,,,
9.53E-07,0.452631579,,,,,,,,,,,
9.53E-07,0.468421053,,,,,,,,,,,
9.53E-07,0.484210526,,,,,,,,,,,
9.53E-07,0.5,,,,,,,,,,,
1.00E-06,0.2,,,,,,,,,,,
1.00E-06,0.215789474,2567554.069,1060454.776,6395.218346,4957.633375,1437.588623,4.448573286,3.448575826,0.025672855,0.025672855,18.43482125,0
1.00E-06,0.231578947,2612280.747,1114466.821,6891.076047,5440.346064,1450.773352,4.749932881,3.749962775,0.027234843,0.027234843,16.7661413,0
1.00E-06,0.247368421,2654522.888,1165216.797,7348.590892,5887.047443,1461.951436,5.026562929,4.026841999,0.028739415,0.028739415,15.21892116,0
1.00E-06,0.263157895,2694574.511,1211839.881,7767.201992,6298.459339,1472.02694,5.276535218,4.278766351,0.030199391,0.030199391,13.58023125,0
1.00E-06,0.278947368,2734194.303,1249141.805,8131.083919,6668.016215,1484.730425,5.47647154,4.49106188,0.031727638,0.031727638,10.66924973,0
1.00E-06,0.294736842,2777922.695,1263198.5,8396.184629,6973.459315,1509.121166,5.563625255,4.62087437,0.033659991,0.033659991,3.852571045,0
1.00E-06,0.310526316,,,,,,,,,,,
1.00E-06,0.326315789,,,,,,,,,,,
1.00E-06,0.342105263,,,,,,,,,,,
1.00E-06,0.357894737,,,,,,,,,,,
1.00E-06,0.373684211,,,,,,,,,,,
1.00E-06,0.389473684,,,,,,,,,,,
1.00E-06,0.405263158,,,,,,,,,,,
1.00E-06,0.421052632,,,,,,,,,,,
1.00E-06,0.436842105,,,,,,,,,,,
1.00E-06,0.452631579,,,,,,,,,,,
1.00E-06,0.468421053,,,,,,,,,,,
1.00E-06,0.484210526,,,,,,,,,,,
1.00E-06,0.5,,,,,,,,,,,
