DSH_target,DSC_target,f_comp
1.4736842105263157,2.4210526315789473,553.125
1.4736842105263157,2.4210526315789473,593.75
1.4736842105263157,2.4210526315789473,634.375
1.4736842105263157,2.4210526315789473,675.0
1.4736842105263157,2.4210526315789473,715.625
1.4736842105263157,2.4210526315789473,756.25
1.4736842105263157,2.4210526315789473,796.875
1.4736842105263157,2.4210526315789473,837.5
1.4736842105263157,2.4210526315789473,878.125
1.4736842105263157,2.4210526315789473,918.75
1.4736842105263157,2.4210526315789473,959.375
1.4736842105263157,2.4210526315789473,1000.0
1.4736842105263157,2.894736842105263,25.0
1.4736842105263157,2.894736842105263,65.625
1.4736842105263157,2.894736842105263,106.25
1.4736842105263157,2.894736842105263,146.875
1.4736842105263157,2.894736842105263,187.5
1.4736842105263157,2.894736842105263,228.125
1.4736842105263157,2.894736842105263,268.75
1.4736842105263157,2.894736842105263,309.375
1.4736842105263157,2.894736842105263,350.0
1.4736842105263157,2.894736842105263,390.625
1.4736842105263157,2.894736842105263,431.25
1.4736842105263157,2.894736842105263,471.875
1.4736842105263157,2.894736842105263,512.5
1.4736842105263157,2.894736842105263,553.125
1.4736842105263157,2.894736842105263,593.75
1.4736842105263157,2.894736842105263,634.375
1.4736842105263157,2.894736842105263,675.0
1.4736842105263157,2.894736842105263,715.625
1.4736842105263157,2.894736842105263,756.25
1.4736842105263157,2.894736842105263,796.875
1.4736842105263157,2.894736842105263,837.5
1.4736842105263157,2.894736842105263,878.125
1.4736842105263157,2.894736842105263,918.75
1.4736842105263157,2.894736842105263,959.375
1.4736842105263157,2.894736842105263,1000.0
1.4736842105263157,3.3684210526315788,25.0
1.4736842105263157,3.3684210526315788,65.625
1.4736842105263157,3.3684210526315788,106.25
1.4736842105263157,3.3684210526315788,146.875
1.4736842105263157,3.3684210526315788,187.5
1.4736842105263157,3.3684210526315788,228.125
1.4736842105263157,3.3684210526315788,268.75
1.4736842105263157,3.3684210526315788,309.375
1.4736842105263157,3.3684210526315788,350.0
1.4736842105263157,3.3684210526315788,390.625
1.4736842105263157,3.3684210526315788,431.25
1.4736842105263157,3.3684210526315788,471.875
1.4736842105263157,3.3684210526315788,512.5
1.4736842105263157,3.3684210526315788,553.125
1.4736842105263157,3.3684210526315788,593.75
1.4736842105263157,3.3684210526315788,634.375
1.4736842105263157,3.3684210526315788,675.0
1.4736842105263157,3.3684210526315788,715.625
1.4736842105263157,3.3684210526315788,756.25
1.4736842105263157,3.3684210526315788,796.875
1.4736842105263157,3.3684210526315788,837.5
1.4736842105263157,3.3684210526315788,878.125
1.4736842105263157,3.3684210526315788,918.75
1.4736842105263157,3.3684210526315788,959.375
1.4736842105263157,3.3684210526315788,1000.0
1.4736842105263157,3.8421052631578947,25.0
1.4736842105263157,3.8421052631578947,65.625
